"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C8","2","22uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL31A226KAHNNNE_Spec.pdf"
"C2,C5,C9,C10,C11,C14,C15","7","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL31B475KAHNNNE_Spec.pdf"
"C3","1","1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL05Y105KP6VPN"
"C4","1","2.2nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1090_X7R_ESD"
"C6","1","10uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL31A106KBHNNNE_Spec.pdf"
"C7","1","4.7uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL31B475KAHNNNE_Spec.pdf"
"C12,C13","2","15pF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1003_C0G_SMD"
"D1","1","3v3 Indicator","","","","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","https://optoelectronics.liteon.com/upload/download/DS22-2000-226/LTST-S270KGKT.pdf"
"D2","1","5V Indicator","","","","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","https://optoelectronics.liteon.com/upload/download/DS22-2000-226/LTST-S270KGKT.pdf"
"D3,D4","2","ESD321","","","","Diode_SMD:D_01005_0402Metric_Pad0.57x0.30mm_HandSolder","https://www.ti.com/lit/ds/symlink/esd321.pdf?ts=1772214071851&ref_url=https%253A%252F%252Fwww.google.com%252F"
"H1,H2","2","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"H3,H4,H5","3","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3mm","~"
"J1,J4,J5,J6","4","Conn_01x03_Pin","","","","Connector_JST:JST_VH_B3PS-VH_1x03_P3.96mm_Horizontal","https://www.jst-mfg.com/product/pdf/eng/eEH.pdf"
"J2,J3,J10","3","Conn_01x02_Pin","","","","Connector_JST:JST_VH_B2PS-VH_1x02_P3.96mm_Horizontal","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,~"
"J7","1","Conn_01x07_Pin","","","","Connector_JST:JST_VH_B7PS-VH_1x07_P3.96mm_Horizontal","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf"
"J8","1","Conn_01x08_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J9","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"L1","1","1uH","","","","WeBench_Inductor:IND_BOURNS_SRN8040","https://www.vishay.com/docs/34029/ilsb1206.pdf"
"R1","1","10 kΩ","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R2","1","2kΩ","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R3","1","22.1kΩ","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R4,R5,R16","3","10kΩ","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R6,R7,R8","3","10K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R9,R10,R12,R13","4","5.1kΩ","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R11,R17","2","5Ω","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R14","1","47.5kΩ","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R15","1","1MΩ","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R18","1","10MΩ","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R19","1","150Ω","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"R20","1","330Ω","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L"
"RTC1","1","32.768kHz","","","","RTC:XTAL_AB38T-32.768KHZ-B7","https://www.waldom.com/upload/parts/datasheets/mf-abr/abr-ab38t-32768khz.pdf"
"SW1,SW2","2","SW_Push","","","","SMD_Button:Shop_SMD_Button","https://www.citrelay.com/wp-content/uploads/2025/05/Switch-CS1102.pdf"
